ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason,entry_reason,origin_id,tf
55,BTCUSDT,BULLISH,6144.15,5944.15,0.5669124946879244,-113.38249893758487,2020-03-22 11:30:00,2020-03-22 12:00:00,Stop Loss,M30#ffe6ed154f38 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
53,BTCUSDT,BULLISH,6088.925,5770.02,0.3555369120508771,-113.38249893758487,2020-03-21 22:00:00,2020-03-22 20:00:00,Stop Loss,H1#58291684e0d5 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
57,BTCUSDT,BULLISH,5970.02,5770.02,0.5669124946879244,-113.38249893758487,2020-03-22 12:00:00,2020-03-22 20:00:00,Stop Loss,M30#d51910e9fd9b D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
56,BTCUSDT,BULLISH,5959.08,5759.08,0.5669124946879244,-113.38249893758487,2020-03-22 12:00:00,2020-03-22 23:30:00,Stop Loss,M30#57c2b32bb3e0 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
59,BTCUSDT,BULLISH,6540.6,6340.6,0.5385668699535283,-107.71337399070566,2020-03-24 02:30:00,2020-03-27 23:30:00,Stop Loss,M30#52082c618bba D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
62,BTCUSDT,BULLISH,6475.35,6275.35,0.5385668699535283,-107.71337399070566,2020-03-24 15:00:00,2020-03-27 23:30:00,Stop Loss,M30#6a63a3707069 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
63,BTCUSDT,BULLISH,6622.595,6388.92,0.46095377764290396,-107.71337399070566,2020-03-24 19:00:00,2020-03-27 23:30:00,Stop Loss,H1#5bc41f039e24 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
60,BTCUSDT,BULLISH,6393.35,6193.35,0.5385668699535283,-107.71337399070566,2020-03-24 04:30:00,2020-03-28 00:00:00,Stop Loss,M30#70028d0932b7 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
61,BTCUSDT,BULLISH,6514.535,6225.05,0.37208620132547726,-107.71337399070566,2020-03-24 12:00:00,2020-03-28 00:00:00,Stop Loss,H1#7413bdcedb11 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
64,BTCUSDT,BULLISH,6204.22,6004.22,0.5224098638549224,-104.48197277098447,2020-03-28 00:00:00,2020-03-28 17:30:00,Stop Loss,M30#b5e6c602845b D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
66,BTCUSDT,BULLISH,6188.37,5988.37,0.5064144278173027,-101.28288556346054,2020-03-29 00:30:00,2020-03-29 19:30:00,Stop Loss,M30#2901fb4b3fa6 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
68,BTCUSDT,BULLISH,6083.39,5883.39,0.5064144278173027,-101.28288556346054,2020-03-29 12:00:00,2020-03-29 19:30:00,Stop Loss,M30#8fc7966adda4 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
71,BTCUSDT,BULLISH,6391.08,6191.08,0.49628613926095666,-99.25722785219133,2020-03-31 04:30:00,2020-04-01 12:00:00,Stop Loss,M30#c16f95e0839c D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
72,BTCUSDT,BULLISH,6809.805,6578.5,0.4248272003357874,-98.26465557366943,2020-04-15 00:00:00,2020-04-16 00:00:00,Stop Loss,H1#c50d6eb803e8 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
46,BTCUSDT,BULLISH,5389.64,8827.12,0.38024688706329074,1307.091069342321,2020-03-19 08:30:00,2020-05-10 00:00:00,Stop Loss,H4#9b6bd116e863 D1 Inertial Flow (Liberated) [T1],161520546b6e,H4
47,BTCUSDT,BULLISH,5782.47,8827.12,0.5843253913501592,1779.0663027742623,2020-03-19 16:00:00,2020-05-10 00:00:00,Stop Loss,M30#baa2c067ed39 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
48,BTCUSDT,BULLISH,5801.81,8827.12,0.5843253913501592,1767.7654497055503,2020-03-19 16:00:00,2020-05-10 00:00:00,Stop Loss,M30#25af8fa8f390 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
50,BTCUSDT,BULLISH,5701.325000000001,8827.12,0.33885344937493633,1059.1864177889292,2020-03-20 20:30:00,2020-05-10 00:00:00,Stop Loss,H1#c23eab4e0c43 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
58,BTCUSDT,BULLISH,5863.39,8827.12,0.5442359949004075,1612.968545166185,2020-03-22 22:30:00,2020-05-10 00:00:00,Stop Loss,M30#645c895de528 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
65,BTCUSDT,BULLISH,6079.975,8827.12,0.2320014176848543,637.3415345858592,2020-03-28 03:30:00,2020-05-10 00:00:00,Stop Loss,H1#6362a36a459d D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
67,BTCUSDT,BULLISH,6118.76,8827.12,0.33051457239087706,895.152447280556,2020-03-29 07:30:00,2020-05-10 00:00:00,Stop Loss,H1#da68858113e7 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
69,BTCUSDT,BULLISH,5950.42,8827.12,0.29767196344881863,856.3129372532168,2020-03-29 19:30:00,2020-05-10 00:00:00,Stop Loss,H4#28a79621b640 D1 Inertial Flow (Liberated) [T1],161520546b6e,H4
70,BTCUSDT,BULLISH,6230.95,8827.12,0.1789450274972803,464.5717120376144,2020-03-30 04:00:00,2020-05-10 00:00:00,Stop Loss,H4#a4446f5958e5 D1 Inertial Flow (Liberated) [T1],161520546b6e,H4
74,BTCUSDT,BULLISH,8487.29,8287.29,1.0053828658863884,-201.07657317727768,2020-05-11 16:30:00,2020-05-11 18:00:00,Stop Loss,M30#f9ca1d359beb D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
78,BTCUSDT,BULLISH,8689.42,8839.42,0.836410955653382,125.4616433480073,2020-05-12 13:00:00,2020-06-27 19:30:00,Stop Loss,H1#46d13a9508c4 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
84,BTCUSDT,BEARISH,8975.06,9175.06,1.001602119394925,-200.320423878985,2020-06-28 04:00:00,2020-06-28 16:00:00,Stop Loss,M30#c821cbc6cc83 D1 Inertial Flow (Liberated) [T3],2a5ae04cb30b,M30
85,BTCUSDT,BEARISH,9161.64,9361.64,0.9915860982009758,-198.31721964019516,2020-06-28 19:30:00,2020-07-06 23:00:00,Stop Loss,M30#6a12ba9eb5cb D1 Inertial Flow (Liberated) [T3],2a5ae04cb30b,M30
