ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason,entry_reason,origin_id,tf
932,BTCUSDT,BULLISH,49064.08,47994.77,130.89819776290133,-139970.75184984866,2021-12-10 13:30:00,2021-12-10 15:00:00,Stop Loss,M30#0a7d6206dad8 MN1 Flow (Tide) (Discovery) [T1],,
931,BTCUSDT,BULLISH,48344.56,47485.3,162.89685525900137,-139970.75184984866,2021-12-10 11:00:00,2021-12-10 16:00:00,Stop Loss,H1#9cf3141a4477 MN1 Flow (Tide) (Discovery) [T1],,
933,BTCUSDT,BULLISH,48344.56,47700.23,217.23457211343543,-139970.75184984866,2021-12-10 14:30:00,2021-12-10 16:00:00,Stop Loss,M30#c1fe06d8480b MN1 Flow (Tide) (Discovery) [T1],,
934,BTCUSDT,BULLISH,47539.76,47339.76,699.1481466720742,-139829.62933441484,2021-12-10 16:00:00,2021-12-10 16:00:00,Stop Loss,H1#2fa805bc5c14 MN1 Flow (Tide) (Discovery) [T3],,
935,BTCUSDT,BULLISH,47539.76,47339.76,699.1481466720742,-139829.62933441484,2021-12-10 16:00:00,2021-12-10 16:00:00,Stop Loss,M30#7b102deb29f1 MN1 Flow (Tide) (Discovery) [T3],,
936,BTCUSDT,BULLISH,48027.1,47202.78,162.8416412445769,-134233.62171072958,2021-12-10 21:30:00,2021-12-10 23:30:00,Stop Loss,M30#090525576820 MN1 Flow (Tide) (Discovery) [T1],,
937,BTCUSDT,BULLISH,46856.28999999999,49303.75,234.28505403740337,573403.2983543847,2021-12-10 23:30:00,2021-12-13 01:00:00,Stop Loss,M30#f60a89d5af3e MN1 Flow (Tide) (Discovery) [T2],,
945,BTCUSDT,BULLISH,48763.68,48913.68,306.3281671975068,45949.22507962602,2021-12-12 09:30:00,2021-12-13 01:00:00,Stop Loss,M30#7fd47700a97c MN1 Flow (Tide) (Discovery) [T1],,
939,BTCUSDT,BULLISH,48425.44,48575.44,186.66865965307645,28000.298947961466,2021-12-11 04:30:00,2021-12-13 01:30:00,Stop Loss,M30#bd4613de220e MN1 Flow (Tide) (Discovery) [T1],,
942,BTCUSDT,BULLISH,48494.73,48644.73,281.2573504066135,42188.602560992025,2021-12-11 15:00:00,2021-12-13 01:30:00,Stop Loss,H1#e70c7cd72eac MN1 Flow (Tide) (Discovery) [T1],,
943,BTCUSDT,BULLISH,48494.73,48644.73,281.2573504066135,42188.602560992025,2021-12-11 15:00:00,2021-12-13 01:30:00,Stop Loss,M30#e60b0f821f86 MN1 Flow (Tide) (Discovery) [T1],,
944,BTCUSDT,BULLISH,48559.18,48709.18,369.98520377978224,55497.78056696733,2021-12-11 21:30:00,2021-12-13 01:30:00,Stop Loss,M30#92bd5167073c MN1 Flow (Tide) (Discovery) [T1],,
946,BTCUSDT,BULLISH,49276.18,48604.94,197.9787937155454,-132891.2854936223,2021-12-12 12:00:00,2021-12-13 01:30:00,Stop Loss,H1#05924e957a28 MN1 Flow (Tide) (Discovery) [T1],,
940,BTCUSDT,BULLISH,48340.39,48490.39,232.99953623848978,34949.930435773465,2021-12-11 08:00:00,2021-12-13 02:30:00,Stop Loss,M30#e4241edbbc8f MN1 Flow (Tide) (Discovery) [T1],,
941,BTCUSDT,BULLISH,48296.6,48446.6,97.69622164574328,14654.433246861492,2021-12-11 12:00:00,2021-12-13 02:30:00,Stop Loss,H4#3b2fd847d752 MN1 Flow (Tide) (Discovery) [T1],,
938,BTCUSDT,BULLISH,48020.12,48170.12,277.4406260957866,41616.09391436799,2021-12-11 02:30:00,2021-12-13 08:00:00,Stop Loss,M30#19e38386efa8 MN1 Flow (Tide) (Discovery) [T1],,
947,BTCUSDT,BULLISH,48529.86,48329.86,695.4240536398121,-139084.8107279624,2021-12-13 01:30:00,2021-12-13 08:00:00,Stop Loss,M30#7fd47700a97c MN1 Flow (Tide) (Discovery) [T3],,
